,Departure,Price
0,2021-12-17,"1.079,07 Dkr"
1,2021-12-20,"490,61 Dkr"
2,2021-12-24,"483,61 Dkr"
3,2021-12-27,"99,00 Dkr"
4,2021-12-31,"99,00 Dkr"
5,2022-01-03,"99,00 Dkr"
6,2022-01-07,"99,00 Dkr"
7,2022-01-10,"99,00 Dkr"
8,2022-01-14,"149,07 Dkr"
9,2022-01-17,"149,07 Dkr"
10,2022-01-21,"179,07 Dkr"
11,2022-01-24,"188,10 Dkr"
12,2022-01-28,"149,07 Dkr"
13,2022-01-31,"99,07 Dkr"
14,2022-02-04,"129,00 Dkr"
15,2022-02-11,"239,07 Dkr"
16,2022-02-14,"239,07 Dkr"
17,2022-02-18,"289,07 Dkr"
18,2022-02-21,"188,10 Dkr"
19,2022-02-25,"329,07 Dkr"
20,2022-02-28,"188,10 Dkr"
21,2022-03-04,"329,07 Dkr"
22,2022-03-07,"289,00 Dkr"
23,2022-03-11,"379,00 Dkr"
24,2022-03-14,"379,00 Dkr"
25,2022-03-18,"379,07 Dkr"
26,2022-03-21,"289,00 Dkr"
27,2022-03-25,"379,07 Dkr"
28,2022-03-28,"289,00 Dkr"
29,2022-04-01,"329,07 Dkr"
30,2022-04-04,"215,10 Dkr"
31,2022-04-08,"509,07 Dkr"
32,2022-04-11,"509,07 Dkr"
