,Departure,Price
0,2021-11-29,"318,74 Dkr"
1,2021-12-03,"318,74 Dkr"
2,2021-12-06,"149,07 Dkr"
3,2021-12-10,"178,15 Dkr"
4,2021-12-13,"193,87 Dkr"
5,2021-12-17,"755,92 Dkr"
6,2021-12-20,"483,62 Dkr"
7,2021-12-24,"416,18 Dkr"
8,2021-12-27,"79,07 Dkr"
9,2021-12-31,"79,07 Dkr"
10,2022-01-03,"79,07 Dkr"
11,2022-01-07,"79,00 Dkr"
12,2022-01-10,"149,00 Dkr"
13,2022-01-14,"149,07 Dkr"
14,2022-01-17,"179,07 Dkr"
15,2022-01-21,"179,07 Dkr"
16,2022-01-24,"179,07 Dkr"
17,2022-01-28,"149,07 Dkr"
18,2022-01-31,"179,07 Dkr"
19,2022-02-04,"239,00 Dkr"
20,2022-02-07,"179,00 Dkr"
21,2022-02-11,"379,07 Dkr"
22,2022-02-14,"239,00 Dkr"
23,2022-02-18,"289,00 Dkr"
24,2022-02-21,"209,00 Dkr"
25,2022-02-25,"329,07 Dkr"
26,2022-02-28,"209,00 Dkr"
27,2022-03-04,"289,00 Dkr"
28,2022-03-07,"289,00 Dkr"
29,2022-03-11,"379,00 Dkr"
30,2022-03-14,"379,00 Dkr"
31,2022-03-18,"379,07 Dkr"
32,2022-03-21,"289,00 Dkr"
33,2022-03-25,"379,00 Dkr"
