,Departure,Price
0,2022-01-10,"167,10 Dkr"
1,2022-01-14,"268,75 Dkr"
2,2022-01-17,"99,00 Dkr"
3,2022-01-21,"329,07 Dkr"
4,2022-01-24,"149,07 Dkr"
5,2022-01-28,"238,32 Dkr"
6,2022-01-31,"99,07 Dkr"
7,2022-02-04,"179,07 Dkr"
8,2022-02-07,"129,00 Dkr"
9,2022-02-11,"365,75 Dkr"
10,2022-02-14,"144,84 Dkr"
11,2022-02-18,"216,00 Dkr"
12,2022-02-21,"129,00 Dkr"
13,2022-02-25,"289,07 Dkr"
14,2022-02-28,"195,69 Dkr"
15,2022-03-04,"209,07 Dkr"
16,2022-03-07,"126,68 Dkr"
17,2022-03-11,"289,07 Dkr"
18,2022-03-14,"239,07 Dkr"
19,2022-03-18,"289,07 Dkr"
20,2022-03-21,"164,37 Dkr"
21,2022-03-25,"289,07 Dkr"
22,2022-03-28,"31,86 Dkr"
23,2022-04-01,"379,07 Dkr"
24,2022-04-04,"194,37 Dkr"
25,2022-04-08,"439,07 Dkr"
26,2022-04-11,"589,07 Dkr"
27,2022-04-15,"289,07 Dkr"
28,2022-04-18,"221,15 Dkr"
29,2022-04-22,"271,15 Dkr"
30,2022-04-25,"215,20 Dkr"
31,2022-04-29,"329,07 Dkr"
32,2022-05-02,"289,07 Dkr"
33,2022-05-06,"329,07 Dkr"
34,2022-05-09,"289,07 Dkr"
