,Departure,Price
0,2021-11-17,"129,07 Dkr"
1,2021-11-18,"249,07 Dkr"
2,2021-11-19,"129,00 Dkr"
3,2021-11-20,"129,07 Dkr"
4,2021-11-21,"389,07 Dkr"
5,2021-11-22,"231,15 Dkr"
6,2021-11-23,"219,07 Dkr"
7,2021-11-24,"129,00 Dkr"
8,2021-11-25,"189,07 Dkr"
9,2021-11-26,"177,10 Dkr"
10,2021-11-27,"129,07 Dkr"
11,2021-11-28,"459,07 Dkr"
12,2021-11-29,"205,69 Dkr"
13,2021-11-30,"152,38 Dkr"
14,2021-12-01,"129,07 Dkr"
15,2021-12-02,"159,07 Dkr"
16,2021-12-03,"159,07 Dkr"
17,2021-12-04,"129,07 Dkr"
18,2021-12-05,"249,07 Dkr"
19,2021-12-06,"583,30 Dkr"
20,2021-12-07,"249,07 Dkr"
21,2021-12-08,"203,87 Dkr"
22,2021-12-09,"152,38 Dkr"
23,2021-12-10,"150,08 Dkr"
24,2021-12-11,"203,87 Dkr"
25,2021-12-12,"503,62 Dkr"
26,2021-12-13,"459,00 Dkr"
27,2021-12-14,"426,18 Dkr"
28,2021-12-15,"203,87 Dkr"
29,2021-12-16,"339,00 Dkr"
