,Departure,Price
0,2021-12-14,"1.912,15 Dkr"
1,2021-12-15,"900,36 Dkr"
2,2021-12-16,"210,87 Dkr"
3,2021-12-17,"346,00 Dkr"
4,2021-12-18,"466,00 Dkr"
5,2021-12-19,"383,18 Dkr"
6,2021-12-20,"256,00 Dkr"
7,2021-12-21,"510,61 Dkr"
8,2021-12-22,"383,18 Dkr"
9,2021-12-23,"893,36 Dkr"
10,2021-12-26,"226,00 Dkr"
11,2021-12-27,"189,00 Dkr"
12,2021-12-28,"196,00 Dkr"
13,2021-12-29,"166,00 Dkr"
14,2021-12-30,"149,00 Dkr"
15,2021-12-31,"22,53 Dkr"
16,2022-01-01,"339,00 Dkr"
17,2022-01-02,"426,18 Dkr"
18,2022-01-03,"459,07 Dkr"
19,2022-01-04,"459,00 Dkr"
20,2022-01-05,"219,00 Dkr"
21,2022-01-06,"149,00 Dkr"
22,2022-01-07,"127,20 Dkr"
23,2022-01-08,"189,07 Dkr"
24,2022-01-09,"197,10 Dkr"
25,2022-01-10,"219,07 Dkr"
26,2022-01-11,"109,07 Dkr"
27,2022-01-12,"109,00 Dkr"
28,2022-01-13,"189,07 Dkr"
29,2022-01-14,"159,07 Dkr"
30,2022-01-15,"109,00 Dkr"
31,2022-01-16,"241,31 Dkr"
32,2022-01-17,"189,07 Dkr"
33,2022-01-18,"109,00 Dkr"
34,2022-01-19,"109,00 Dkr"
35,2022-01-20,"109,00 Dkr"
36,2022-01-21,"109,00 Dkr"
37,2022-01-22,"109,00 Dkr"
38,2022-01-23,"332,46 Dkr"
39,2022-01-24,"159,07 Dkr"
40,2022-01-25,"109,00 Dkr"
41,2022-01-26,"109,00 Dkr"
42,2022-01-27,"109,00 Dkr"
43,2022-01-28,"109,00 Dkr"
44,2022-01-29,"109,00 Dkr"
45,2022-01-30,"197,10 Dkr"
46,2022-01-31,"278,74 Dkr"
47,2022-02-01,"149,00 Dkr"
48,2022-02-02,"149,00 Dkr"
49,2022-02-03,"149,07 Dkr"
50,2022-02-04,"127,20 Dkr"
51,2022-02-05,"149,00 Dkr"
52,2022-02-06,"299,00 Dkr"
53,2022-02-07,"203,87 Dkr"
54,2022-02-08,"149,00 Dkr"
55,2022-02-09,"149,00 Dkr"
56,2022-02-10,"149,07 Dkr"
57,2022-02-11,"127,20 Dkr"
58,2022-02-12,"149,07 Dkr"
59,2022-02-13,"278,74 Dkr"
60,2022-02-14,"219,07 Dkr"
61,2022-02-15,"149,00 Dkr"
62,2022-02-16,"149,00 Dkr"
63,2022-02-17,"149,00 Dkr"
64,2022-02-18,"256,00 Dkr"
65,2022-02-19,"339,07 Dkr"
66,2022-02-20,"339,07 Dkr"
67,2022-02-21,"299,07 Dkr"
68,2022-02-22,"149,00 Dkr"
69,2022-02-23,"149,00 Dkr"
70,2022-02-24,"299,07 Dkr"
71,2022-02-25,"339,07 Dkr"
72,2022-02-26,"459,00 Dkr"
73,2022-02-27,"459,07 Dkr"
74,2022-02-28,"459,07 Dkr"
75,2022-03-01,"149,07 Dkr"
76,2022-03-02,"149,00 Dkr"
77,2022-03-03,"197,10 Dkr"
78,2022-03-04,"197,10 Dkr"
79,2022-03-05,"224,10 Dkr"
80,2022-03-06,"299,07 Dkr"
81,2022-03-07,"249,07 Dkr"
82,2022-03-08,"149,07 Dkr"
83,2022-03-09,"149,00 Dkr"
84,2022-03-10,"219,07 Dkr"
85,2022-03-11,"219,07 Dkr"
86,2022-03-12,"339,07 Dkr"
87,2022-03-13,"339,07 Dkr"
88,2022-03-14,"339,07 Dkr"
89,2022-03-15,"389,00 Dkr"
90,2022-03-16,"376,18 Dkr"
91,2022-03-17,"389,00 Dkr"
92,2022-03-18,"389,07 Dkr"
93,2022-03-19,"389,00 Dkr"
94,2022-03-20,"584,77 Dkr"
95,2022-03-21,"224,10 Dkr"
96,2022-03-22,"149,07 Dkr"
97,2022-03-23,"149,00 Dkr"
98,2022-03-24,"219,07 Dkr"
99,2022-03-25,"299,00 Dkr"
100,2022-03-26,"224,10 Dkr"
101,2022-03-27,"503,61 Dkr"
102,2022-03-28,"426,18 Dkr"
103,2022-03-29,"149,07 Dkr"
104,2022-03-30,"149,00 Dkr"
105,2022-03-31,"339,00 Dkr"
106,2022-04-01,"332,46 Dkr"
107,2022-04-02,"249,07 Dkr"
108,2022-04-03,"459,07 Dkr"
109,2022-04-04,"332,46 Dkr"
110,2022-04-05,"189,07 Dkr"
111,2022-04-06,"170,10 Dkr"
112,2022-04-07,"389,07 Dkr"
113,2022-04-08,"459,00 Dkr"
114,2022-04-09,"584,77 Dkr"
115,2022-04-10,"619,00 Dkr"
116,2022-04-11,"389,00 Dkr"
117,2022-04-12,"339,00 Dkr"
118,2022-04-13,"426,18 Dkr"
119,2022-04-14,"678,48 Dkr"
