,Departure,Price
0,2021-11-26,"376,18 Dkr"
1,2021-11-27,"279,00 Dkr"
2,2021-11-28,"529,07 Dkr"
3,2021-11-29,"1.109,07 Dkr"
4,2021-11-30,"68,08 Dkr"
5,2021-12-01,"159,07 Dkr"
6,2021-12-02,"150,08 Dkr"
7,2021-12-03,"147,85 Dkr"
8,2021-12-04,"152,38 Dkr"
9,2021-12-05,"225,87 Dkr"
10,2021-12-06,"159,07 Dkr"
11,2021-12-07,"170,15 Dkr"
12,2021-12-08,"150,08 Dkr"
13,2021-12-09,"159,07 Dkr"
14,2021-12-10,"159,07 Dkr"
15,2021-12-11,"170,15 Dkr"
16,2021-12-12,"332,46 Dkr"
17,2021-12-13,"426,18 Dkr"
18,2021-12-14,"170,15 Dkr"
19,2021-12-15,"170,15 Dkr"
20,2021-12-16,"129,00 Dkr"
21,2021-12-17,"1.499,00 Dkr"
22,2021-12-18,"893,36 Dkr"
23,2021-12-19,"959,00 Dkr"
24,2021-12-20,"775,92 Dkr"
25,2021-12-21,"893,36 Dkr"
26,2021-12-22,"959,07 Dkr"
27,2021-12-23,"819,00 Dkr"
28,2021-12-26,"678,49 Dkr"
29,2021-12-27,"339,00 Dkr"
30,2021-12-28,"389,07 Dkr"
31,2021-12-29,"619,00 Dkr"
32,2021-12-30,"389,00 Dkr"
33,2021-12-31,"389,00 Dkr"
34,2022-01-01,"459,07 Dkr"
35,2022-01-02,"959,07 Dkr"
36,2022-01-03,"709,07 Dkr"
37,2022-01-04,"775,92 Dkr"
38,2022-01-05,"219,00 Dkr"
39,2022-01-06,"129,00 Dkr"
40,2022-01-07,"109,00 Dkr"
41,2022-01-08,"159,00 Dkr"
42,2022-01-09,"203,87 Dkr"
43,2022-01-10,"177,00 Dkr"
44,2022-01-11,"159,00 Dkr"
45,2022-01-12,"159,00 Dkr"
46,2022-01-13,"159,07 Dkr"
47,2022-01-14,"159,00 Dkr"
48,2022-01-15,"159,00 Dkr"
49,2022-01-16,"188,15 Dkr"
50,2022-01-17,"159,07 Dkr"
51,2022-01-18,"159,07 Dkr"
52,2022-01-19,"159,00 Dkr"
53,2022-01-20,"159,00 Dkr"
54,2022-01-21,"159,07 Dkr"
55,2022-01-22,"159,00 Dkr"
56,2022-01-23,"270,31 Dkr"
57,2022-01-24,"159,07 Dkr"
58,2022-01-25,"159,07 Dkr"
59,2022-01-26,"159,00 Dkr"
60,2022-01-27,"159,00 Dkr"
61,2022-01-28,"159,00 Dkr"
62,2022-01-29,"159,00 Dkr"
63,2022-01-30,"203,87 Dkr"
64,2022-01-31,"225,87 Dkr"
65,2022-02-01,"159,07 Dkr"
66,2022-02-02,"159,00 Dkr"
67,2022-02-03,"159,07 Dkr"
68,2022-02-04,"159,00 Dkr"
69,2022-02-05,"159,07 Dkr"
70,2022-02-06,"299,07 Dkr"
71,2022-02-07,"177,00 Dkr"
72,2022-02-08,"159,00 Dkr"
73,2022-02-09,"159,00 Dkr"
74,2022-02-10,"159,07 Dkr"
75,2022-02-11,"159,00 Dkr"
76,2022-02-12,"159,07 Dkr"
77,2022-02-13,"177,00 Dkr"
78,2022-02-14,"188,15 Dkr"
79,2022-02-15,"159,07 Dkr"
80,2022-02-16,"159,00 Dkr"
81,2022-02-17,"159,00 Dkr"
82,2022-02-18,"249,07 Dkr"
83,2022-02-19,"299,07 Dkr"
84,2022-02-20,"299,00 Dkr"
85,2022-02-21,"249,07 Dkr"
86,2022-02-22,"149,07 Dkr"
87,2022-02-23,"149,07 Dkr"
88,2022-02-24,"278,74 Dkr"
89,2022-02-25,"339,07 Dkr"
90,2022-02-26,"459,00 Dkr"
91,2022-02-27,"503,62 Dkr"
92,2022-02-28,"459,00 Dkr"
93,2022-03-01,"149,00 Dkr"
94,2022-03-02,"149,00 Dkr"
95,2022-03-03,"219,00 Dkr"
96,2022-03-04,"219,00 Dkr"
97,2022-03-05,"249,00 Dkr"
98,2022-03-06,"299,00 Dkr"
99,2022-03-07,"249,00 Dkr"
100,2022-03-08,"149,00 Dkr"
101,2022-03-09,"149,00 Dkr"
102,2022-03-10,"219,00 Dkr"
103,2022-03-11,"219,00 Dkr"
104,2022-03-12,"299,07 Dkr"
105,2022-03-13,"339,07 Dkr"
106,2022-03-14,"299,07 Dkr"
107,2022-03-15,"389,00 Dkr"
108,2022-03-16,"299,07 Dkr"
109,2022-03-17,"389,00 Dkr"
110,2022-03-18,"389,07 Dkr"
111,2022-03-19,"389,00 Dkr"
112,2022-03-20,"503,62 Dkr"
113,2022-03-21,"249,00 Dkr"
114,2022-03-22,"189,07 Dkr"
115,2022-03-23,"159,00 Dkr"
116,2022-03-24,"219,07 Dkr"
117,2022-03-25,"299,00 Dkr"
118,2022-03-26,"249,00 Dkr"
