,Departure,Price
0,2021-11-17,"191,31 Dkr"
1,2021-11-21,"228,75 Dkr"
2,2021-11-24,"229,07 Dkr"
3,2021-11-28,"163,87 Dkr"
4,2021-12-01,"109,07 Dkr"
5,2021-12-05,"109,00 Dkr"
6,2021-12-08,"109,07 Dkr"
7,2021-12-12,"140,16 Dkr"
