,Departure,Price
0,2021-11-17,"59,00 Dkr"
1,2021-11-21,"159,07 Dkr"
2,2021-11-24,"59,07 Dkr"
3,2021-11-28,"159,07 Dkr"
4,2021-12-01,"59,07 Dkr"
5,2021-12-05,"170,16 Dkr"
6,2021-12-08,"366,19 Dkr"
7,2021-12-12,"278,75 Dkr"
8,2021-12-15,"231,31 Dkr"
9,2021-12-19,"765,94 Dkr"
10,2021-12-22,"893,37 Dkr"
11,2021-12-26,"449,00 Dkr"
12,2021-12-29,"529,00 Dkr"
13,2022-01-02,"699,07 Dkr"
14,2022-01-05,"329,00 Dkr"
15,2022-01-09,"209,07 Dkr"
16,2022-01-12,"109,00 Dkr"
17,2022-01-16,"109,07 Dkr"
18,2022-01-19,"189,07 Dkr"
19,2022-01-23,"329,07 Dkr"
20,2022-01-26,"668,50 Dkr"
21,2022-01-30,"584,78 Dkr"
22,2022-02-02,"159,00 Dkr"
23,2022-02-06,"209,07 Dkr"
24,2022-02-09,"209,07 Dkr"
25,2022-02-13,"2.784,06 Dkr"
26,2022-02-16,"209,07 Dkr"
27,2022-02-20,"668,50 Dkr"
28,2022-02-23,"129,00 Dkr"
29,2022-02-27,"249,07 Dkr"
30,2022-03-02,"209,00 Dkr"
31,2022-03-06,"584,78 Dkr"
32,2022-03-09,"329,07 Dkr"
33,2022-03-13,"329,07 Dkr"
