,Departure,Price
0,2022-01-08,"386,25 Dkr"
1,2022-01-11,"129,00 Dkr"
2,2022-01-15,"129,00 Dkr"
3,2022-01-18,"129,00 Dkr"
4,2022-01-22,"129,00 Dkr"
5,2022-01-25,"129,07 Dkr"
6,2022-01-29,"129,07 Dkr"
7,2022-02-01,"189,07 Dkr"
8,2022-02-05,"169,07 Dkr"
9,2022-02-08,"359,07 Dkr"
10,2022-02-12,"512,30 Dkr"
11,2022-02-15,"251,15 Dkr"
12,2022-02-19,"189,07 Dkr"
13,2022-02-22,"169,00 Dkr"
14,2022-02-26,"169,07 Dkr"
15,2022-03-01,"585,53 Dkr"
16,2022-03-05,"269,07 Dkr"
17,2022-03-08,"189,07 Dkr"
18,2022-03-12,"129,07 Dkr"
19,2022-03-15,"177,84 Dkr"
20,2022-03-19,"174,12 Dkr"
21,2022-03-22,"251,15 Dkr"
22,2022-03-26,"177,84 Dkr"
23,2022-03-28,"183,20 Dkr"
24,2022-04-01,"809,07 Dkr"
25,2022-04-04,"359,07 Dkr"
26,2022-04-08,"1.168,26 Dkr"
27,2022-04-11,"809,07 Dkr"
28,2022-04-15,"863,54 Dkr"
29,2022-04-18,"709,07 Dkr"
30,2022-04-22,"674,79 Dkr"
31,2022-04-25,"674,79 Dkr"
32,2022-04-29,"409,07 Dkr"
33,2022-05-02,"371,81 Dkr"
34,2022-05-06,"329,25 Dkr"
