,Departure,Price
0,2021-11-16,"875,93 Dkr"
1,2021-11-20,"129,00 Dkr"
2,2021-11-23,"229,07 Dkr"
3,2021-11-27,"189,07 Dkr"
4,2021-11-30,"1.168,24 Dkr"
5,2021-12-04,"768,49 Dkr"
6,2021-12-07,"396,18 Dkr"
7,2021-12-11,"506,18 Dkr"
8,2021-12-14,"469,07 Dkr"
9,2021-12-18,"2.025,17 Dkr"
10,2021-12-21,"1.869,07 Dkr"
11,2021-12-22,"875,93 Dkr"
12,2021-12-28,"1.523,11 Dkr"
13,2022-01-01,"469,07 Dkr"
14,2022-01-04,"309,00 Dkr"
15,2022-01-08,"109,07 Dkr"
16,2022-01-11,"109,00 Dkr"
17,2022-01-15,"109,07 Dkr"
18,2022-01-18,"189,07 Dkr"
19,2022-01-22,"229,07 Dkr"
20,2022-01-25,"206,10 Dkr"
21,2022-01-29,"269,00 Dkr"
22,2022-02-01,"229,00 Dkr"
23,2022-02-05,"229,00 Dkr"
24,2022-02-08,"269,07 Dkr"
25,2022-02-12,"309,07 Dkr"
26,2022-02-15,"359,00 Dkr"
27,2022-02-19,"309,00 Dkr"
28,2022-02-22,"229,00 Dkr"
29,2022-02-26,"229,00 Dkr"
30,2022-03-01,"875,93 Dkr"
31,2022-03-05,"409,00 Dkr"
32,2022-03-08,"409,00 Dkr"
33,2022-03-12,"409,00 Dkr"
34,2022-03-15,"469,00 Dkr"
