,Departure,Price
0,2022-01-21,"269,00 Dkr"
1,2022-01-24,"59,00 Dkr"
2,2022-01-28,"59,00 Dkr"
3,2022-01-31,"96,75 Dkr"
4,2022-02-04,"109,00 Dkr"
5,2022-02-07,"109,07 Dkr"
6,2022-02-11,"109,00 Dkr"
7,2022-02-14,"109,07 Dkr"
8,2022-02-18,"109,00 Dkr"
9,2022-02-21,"109,00 Dkr"
10,2022-02-25,"109,00 Dkr"
11,2022-02-28,"109,00 Dkr"
12,2022-03-04,"169,07 Dkr"
13,2022-03-07,"129,07 Dkr"
14,2022-03-11,"109,07 Dkr"
15,2022-03-14,"109,00 Dkr"
16,2022-03-18,"109,07 Dkr"
17,2022-03-21,"149,07 Dkr"
18,2022-03-25,"140,00 Dkr"
19,2022-03-28,"199,07 Dkr"
20,2022-04-01,"245,18 Dkr"
21,2022-04-04,"224,35 Dkr"
22,2022-04-08,"519,07 Dkr"
23,2022-04-11,"239,23 Dkr"
24,2022-04-15,"239,23 Dkr"
25,2022-04-18,"519,07 Dkr"
26,2022-04-22,"245,18 Dkr"
27,2022-04-25,"289,23 Dkr"
28,2022-04-29,"289,23 Dkr"
29,2022-05-02,"439,07 Dkr"
30,2022-05-06,"406,25 Dkr"
31,2022-05-09,"439,07 Dkr"
32,2022-05-13,"439,07 Dkr"
33,2022-05-16,"406,25 Dkr"
34,2022-05-20,"406,25 Dkr"
