,Departure,Price
0,2022-01-10,"79,00 Dkr"
1,2022-01-14,"79,00 Dkr"
2,2022-01-17,"79,00 Dkr"
3,2022-01-21,"79,00 Dkr"
4,2022-01-24,"79,07 Dkr"
5,2022-01-28,"79,00 Dkr"
6,2022-01-31,"79,00 Dkr"
7,2022-02-04,"109,00 Dkr"
8,2022-02-07,"176,00 Dkr"
9,2022-02-11,"176,00 Dkr"
10,2022-02-14,"356,19 Dkr"
11,2022-02-18,"109,07 Dkr"
12,2022-02-21,"129,07 Dkr"
13,2022-02-25,"109,00 Dkr"
14,2022-02-28,"109,07 Dkr"
15,2022-03-04,"149,07 Dkr"
16,2022-03-07,"109,07 Dkr"
17,2022-03-11,"109,07 Dkr"
18,2022-03-14,"109,07 Dkr"
19,2022-03-18,"109,07 Dkr"
20,2022-03-21,"109,07 Dkr"
21,2022-03-25,"109,07 Dkr"
22,2022-03-28,"199,07 Dkr"
23,2022-04-01,"406,27 Dkr"
24,2022-04-04,"439,07 Dkr"
25,2022-04-08,"377,63 Dkr"
26,2022-04-11,"357,18 Dkr"
27,2022-04-15,"377,63 Dkr"
28,2022-04-18,"439,07 Dkr"
29,2022-04-22,"406,27 Dkr"
30,2022-04-25,"406,27 Dkr"
31,2022-04-29,"406,27 Dkr"
32,2022-05-02,"439,07 Dkr"
33,2022-05-06,"406,27 Dkr"
