,Departure,Price
0,2021-12-16,"9,99 €"
1,2021-12-18,"19,99 €"
2,2021-12-19,"21,99 €"
3,2021-12-21,"19,99 €"
4,2021-12-23,"24,99 €"
5,2021-12-26,"41,00 €"
6,2021-12-28,"32,99 €"
7,2021-12-30,"46,99 €"
8,2022-01-01,"47,99 €"
9,2022-01-02,"133,99 €"
10,2022-01-04,"101,99 €"
11,2022-01-06,"67,99 €"
12,2022-01-08,"100,99 €"
13,2022-01-09,"93,00 €"
14,2022-01-11,"70,99 €"
15,2022-01-13,"38,99 €"
16,2022-01-15,"24,00 €"
17,2022-01-16,"26,49 €"
18,2022-01-18,"20,00 €"
19,2022-01-20,"24,00 €"
20,2022-01-22,"24,00 €"
21,2022-01-23,"24,00 €"
22,2022-01-25,"30,99 €"
23,2022-01-27,"24,00 €"
24,2022-01-29,"24,00 €"
25,2022-01-30,"19,19 €"
26,2022-02-01,"23,99 €"
27,2022-02-03,"32,39 €"
28,2022-02-05,"23,99 €"
29,2022-02-06,"46,99 €"
30,2022-02-08,"32,39 €"
31,2022-02-10,"61,99 €"
32,2022-02-12,"32,39 €"
33,2022-02-13,"36,89 €"
34,2022-02-15,"30,00 €"
35,2022-02-17,"36,00 €"
36,2022-02-19,"41,00 €"
37,2022-02-20,"93,00 €"
38,2022-02-22,"41,00 €"
39,2022-02-24,"66,99 €"
40,2022-02-26,"66,99 €"
41,2022-02-27,"61,99 €"
42,2022-03-01,"32,39 €"
43,2022-03-03,"32,39 €"
44,2022-03-05,"30,00 €"
45,2022-03-06,"62,00 €"
46,2022-03-08,"36,00 €"
47,2022-03-10,"153,49 €"
48,2022-03-12,"24,00 €"
49,2022-03-13,"54,00 €"
50,2022-03-15,"21,99 €"
51,2022-03-17,"24,00 €"
52,2022-03-19,"23,99 €"
53,2022-03-20,"54,00 €"
54,2022-03-22,"36,00 €"
55,2022-03-24,"24,00 €"
56,2022-03-26,"36,00 €"
57,2022-03-28,"36,89 €"
58,2022-03-29,"61,99 €"
59,2022-03-31,"70,99 €"
60,2022-04-01,"80,99 €"
61,2022-04-02,"80,99 €"
62,2022-04-04,"45,99 €"
63,2022-04-05,"70,99 €"
64,2022-04-07,"47,00 €"
65,2022-04-08,"80,99 €"
66,2022-04-09,"80,99 €"
67,2022-04-11,"133,99 €"
68,2022-04-12,"122,99 €"
69,2022-04-14,"122,99 €"
70,2022-04-15,"106,99 €"
