,Departure,Price
0,2022-01-15,"42,29 €"
1,2022-01-16,"70,99 €"
2,2022-01-18,"16,99 €"
3,2022-01-20,"16,99 €"
4,2022-01-22,"16,99 €"
5,2022-01-23,"48,59 €"
6,2022-01-25,"16,99 €"
7,2022-01-27,"18,99 €"
8,2022-01-29,"16,99 €"
9,2022-01-30,"17,99 €"
10,2022-02-01,"21,99 €"
11,2022-02-03,"21,99 €"
12,2022-02-05,"21,99 €"
13,2022-02-06,"22,00 €"
14,2022-02-08,"21,99 €"
15,2022-02-10,"21,99 €"
16,2022-02-12,"21,99 €"
17,2022-02-13,"36,00 €"
18,2022-02-15,"22,00 €"
19,2022-02-17,"36,00 €"
20,2022-02-19,"76,99 €"
21,2022-02-20,"100,99 €"
22,2022-02-22,"24,00 €"
23,2022-02-24,"30,00 €"
24,2022-02-26,"24,00 €"
25,2022-02-27,"36,99 €"
26,2022-03-01,"21,99 €"
27,2022-03-03,"22,00 €"
28,2022-03-05,"21,49 €"
29,2022-03-06,"62,00 €"
30,2022-03-08,"24,00 €"
31,2022-03-10,"132,79 €"
32,2022-03-12,"36,00 €"
33,2022-03-13,"41,00 €"
34,2022-03-15,"30,00 €"
35,2022-03-17,"24,00 €"
36,2022-03-19,"30,00 €"
37,2022-03-20,"54,00 €"
38,2022-03-22,"22,00 €"
39,2022-03-24,"30,00 €"
40,2022-03-26,"24,00 €"
41,2022-03-28,"22,00 €"
42,2022-03-29,"22,00 €"
43,2022-03-31,"36,00 €"
44,2022-04-01,"36,99 €"
45,2022-04-02,"36,99 €"
46,2022-04-04,"47,00 €"
47,2022-04-05,"42,99 €"
48,2022-04-07,"47,00 €"
49,2022-04-08,"71,00 €"
50,2022-04-09,"54,00 €"
51,2022-04-11,"74,99 €"
52,2022-04-12,"88,19 €"
53,2022-04-14,"88,19 €"
54,2022-04-15,"48,99 €"
55,2022-04-16,"70,99 €"
56,2022-04-18,"107,00 €"
57,2022-04-19,"100,99 €"
58,2022-04-21,"42,99 €"
59,2022-04-22,"42,99 €"
60,2022-04-23,"71,00 €"
61,2022-04-25,"37,99 €"
62,2022-04-26,"39,49 €"
63,2022-04-28,"42,29 €"
64,2022-04-29,"153,49 €"
65,2022-04-30,"115,99 €"
66,2022-05-02,"76,99 €"
67,2022-05-03,"76,49 €"
68,2022-05-05,"49,99 €"
69,2022-05-06,"62,00 €"
70,2022-05-07,"42,99 €"
71,2022-05-09,"62,00 €"
72,2022-05-10,"56,99 €"
73,2022-05-12,"54,00 €"
74,2022-05-13,"115,99 €"
75,2022-05-14,"62,00 €"
