,Departure,Price
0,2022-01-11,"43,99 €"
1,2022-01-13,"19,99 €"
2,2022-01-15,"38,99 €"
3,2022-01-16,"58,99 €"
4,2022-01-18,"19,99 €"
5,2022-01-20,"20,00 €"
6,2022-01-22,"20,00 €"
7,2022-01-23,"26,49 €"
8,2022-01-25,"19,99 €"
9,2022-01-27,"20,00 €"
10,2022-01-29,"20,00 €"
11,2022-01-30,"19,99 €"
12,2022-02-01,"22,00 €"
13,2022-02-03,"22,00 €"
14,2022-02-05,"21,99 €"
15,2022-02-06,"24,00 €"
16,2022-02-08,"21,99 €"
17,2022-02-10,"21,99 €"
18,2022-02-12,"21,99 €"
19,2022-02-13,"36,00 €"
20,2022-02-15,"22,00 €"
21,2022-02-17,"41,00 €"
22,2022-02-19,"59,99 €"
23,2022-02-20,"101,60 €"
24,2022-02-22,"22,00 €"
25,2022-02-24,"54,00 €"
26,2022-02-26,"41,99 €"
27,2022-02-27,"41,00 €"
28,2022-03-01,"22,00 €"
29,2022-03-03,"24,00 €"
30,2022-03-05,"24,00 €"
31,2022-03-06,"57,99 €"
32,2022-03-08,"24,00 €"
33,2022-03-10,"153,49 €"
34,2022-03-12,"36,00 €"
35,2022-03-13,"35,99 €"
36,2022-03-15,"30,00 €"
37,2022-03-17,"24,00 €"
38,2022-03-19,"30,00 €"
39,2022-03-20,"47,00 €"
40,2022-03-22,"22,00 €"
41,2022-03-24,"30,00 €"
42,2022-03-26,"24,00 €"
43,2022-03-28,"22,00 €"
44,2022-03-29,"24,00 €"
45,2022-03-31,"36,00 €"
46,2022-04-01,"65,99 €"
47,2022-04-02,"65,99 €"
48,2022-04-04,"51,99 €"
49,2022-04-05,"66,19 €"
50,2022-04-07,"62,00 €"
51,2022-04-08,"93,00 €"
52,2022-04-09,"93,00 €"
53,2022-04-11,"133,99 €"
54,2022-04-12,"114,19 €"
55,2022-04-14,"99,79 €"
56,2022-04-15,"97,99 €"
57,2022-04-16,"116,39 €"
58,2022-04-18,"155,80 €"
59,2022-04-19,"93,00 €"
60,2022-04-21,"57,99 €"
61,2022-04-22,"74,99 €"
62,2022-04-23,"93,00 €"
63,2022-04-25,"58,99 €"
64,2022-04-26,"56,99 €"
65,2022-04-28,"62,00 €"
66,2022-04-29,"153,49 €"
67,2022-04-30,"93,00 €"
68,2022-05-02,"62,00 €"
69,2022-05-03,"76,49 €"
70,2022-05-05,"57,99 €"
71,2022-05-06,"71,00 €"
72,2022-05-07,"49,99 €"
73,2022-05-09,"62,00 €"
74,2022-05-10,"56,99 €"
