,Departure,Price
0,2022-01-06,"67,99 €"
1,2022-01-08,"163,00 €"
2,2022-01-09,"163,00 €"
3,2022-01-11,"38,99 €"
4,2022-01-13,"20,00 €"
5,2022-01-15,"26,49 €"
6,2022-01-16,"52,99 €"
7,2022-01-18,"20,00 €"
8,2022-01-20,"24,00 €"
9,2022-01-22,"20,00 €"
10,2022-01-23,"28,99 €"
11,2022-01-25,"20,00 €"
12,2022-01-27,"20,00 €"
13,2022-01-29,"20,00 €"
14,2022-01-30,"19,99 €"
15,2022-02-01,"22,49 €"
16,2022-02-03,"30,00 €"
17,2022-02-05,"24,00 €"
18,2022-02-06,"21,99 €"
19,2022-02-08,"21,99 €"
20,2022-02-10,"21,49 €"
21,2022-02-12,"22,00 €"
22,2022-02-13,"24,00 €"
23,2022-02-15,"24,00 €"
24,2022-02-17,"30,00 €"
25,2022-02-19,"36,00 €"
26,2022-02-20,"93,00 €"
27,2022-02-22,"22,49 €"
28,2022-02-24,"62,00 €"
29,2022-02-26,"54,00 €"
30,2022-02-27,"30,00 €"
31,2022-03-01,"21,99 €"
32,2022-03-03,"22,00 €"
33,2022-03-05,"24,00 €"
34,2022-03-06,"71,00 €"
35,2022-03-08,"22,00 €"
36,2022-03-10,"153,49 €"
37,2022-03-12,"36,00 €"
38,2022-03-13,"48,99 €"
39,2022-03-15,"24,00 €"
40,2022-03-17,"30,00 €"
41,2022-03-19,"24,00 €"
42,2022-03-20,"47,00 €"
43,2022-03-22,"21,99 €"
44,2022-03-24,"26,49 €"
45,2022-03-26,"41,00 €"
46,2022-03-28,"30,00 €"
47,2022-03-29,"30,00 €"
48,2022-03-31,"41,00 €"
49,2022-04-01,"65,99 €"
50,2022-04-02,"65,99 €"
51,2022-04-04,"45,99 €"
52,2022-04-05,"66,19 €"
53,2022-04-07,"54,00 €"
54,2022-04-08,"93,00 €"
55,2022-04-09,"93,00 €"
56,2022-04-11,"133,99 €"
57,2022-04-12,"114,19 €"
58,2022-04-14,"84,99 €"
59,2022-04-15,"97,99 €"
60,2022-04-16,"116,39 €"
61,2022-04-18,"155,80 €"
62,2022-04-19,"81,00 €"
63,2022-04-21,"56,99 €"
64,2022-04-22,"76,49 €"
65,2022-04-23,"65,99 €"
66,2022-04-25,"62,00 €"
67,2022-04-26,"51,99 €"
68,2022-04-28,"51,99 €"
69,2022-04-29,"153,49 €"
70,2022-04-30,"76,49 €"
71,2022-05-02,"54,00 €"
72,2022-05-03,"74,99 €"
73,2022-05-05,"57,99 €"
