,Departure,Price
0,2021-12-09,"41,00 €"
1,2021-12-11,"9,99 €"
2,2021-12-12,"9,99 €"
3,2021-12-14,"9,99 €"
4,2021-12-16,"9,99 €"
5,2021-12-18,"19,99 €"
6,2021-12-19,"20,00 €"
7,2021-12-21,"19,99 €"
8,2021-12-23,"21,59 €"
9,2021-12-26,"36,00 €"
10,2021-12-28,"21,59 €"
11,2021-12-30,"47,00 €"
12,2022-01-01,"92,99 €"
13,2022-01-02,"162,99 €"
14,2022-01-04,"80,99 €"
15,2022-01-06,"71,00 €"
16,2022-01-08,"122,99 €"
17,2022-01-09,"122,99 €"
18,2022-01-11,"71,00 €"
19,2022-01-13,"36,00 €"
20,2022-01-15,"26,49 €"
21,2022-01-16,"24,00 €"
22,2022-01-18,"21,99 €"
23,2022-01-20,"30,00 €"
24,2022-01-22,"22,00 €"
25,2022-01-23,"22,00 €"
26,2022-01-25,"24,00 €"
27,2022-01-27,"22,00 €"
28,2022-01-29,"24,00 €"
29,2022-01-30,"24,00 €"
30,2022-02-01,"29,99 €"
31,2022-02-03,"35,99 €"
32,2022-02-05,"29,99 €"
33,2022-02-06,"47,00 €"
34,2022-02-08,"35,99 €"
35,2022-02-10,"61,99 €"
36,2022-02-12,"36,00 €"
37,2022-02-13,"40,99 €"
38,2022-02-15,"29,99 €"
39,2022-02-17,"36,00 €"
40,2022-02-19,"41,00 €"
41,2022-02-20,"93,00 €"
42,2022-02-22,"41,00 €"
43,2022-02-24,"58,99 €"
44,2022-02-26,"66,99 €"
45,2022-02-27,"61,99 €"
46,2022-03-01,"35,99 €"
47,2022-03-03,"35,99 €"
48,2022-03-05,"29,99 €"
49,2022-03-06,"62,00 €"
50,2022-03-08,"35,99 €"
51,2022-03-10,"153,49 €"
52,2022-03-12,"24,00 €"
53,2022-03-13,"54,00 €"
54,2022-03-15,"21,99 €"
55,2022-03-17,"24,00 €"
56,2022-03-19,"29,99 €"
57,2022-03-20,"54,00 €"
58,2022-03-22,"36,00 €"
59,2022-03-24,"22,00 €"
60,2022-03-26,"36,00 €"
61,2022-03-28,"40,99 €"
62,2022-03-29,"61,99 €"
63,2022-03-31,"70,99 €"
64,2022-04-01,"80,99 €"
65,2022-04-02,"80,99 €"
66,2022-04-04,"45,99 €"
67,2022-04-05,"70,99 €"
68,2022-04-07,"47,00 €"
