,Departure,Price
0,2021-11-06,"200,99 €"
1,2021-11-07,"230,19 €"
2,2021-11-09,"175,79 €"
3,2021-11-11,"83,99 €"
4,2021-11-13,"48,99 €"
5,2021-11-14,"114,19 €"
6,2021-11-16,"115,99 €"
7,2021-11-18,"88,19 €"
8,2021-11-20,"133,99 €"
9,2021-11-21,"163,00 €"
10,2021-11-23,"67,40 €"
11,2021-11-25,"74,99 €"
12,2021-11-27,"47,00 €"
13,2021-11-28,"187,00 €"
14,2021-11-30,"43,99 €"
15,2021-12-02,"178,59 €"
16,2021-12-04,"215,00 €"
17,2021-12-05,"114,19 €"
18,2021-12-07,"50,99 €"
19,2021-12-09,"24,99 €"
20,2021-12-11,"14,99 €"
21,2021-12-12,"14,99 €"
22,2021-12-14,"14,99 €"
23,2021-12-16,"23,99 €"
24,2021-12-18,"30,00 €"
25,2021-12-19,"35,99 €"
26,2021-12-21,"46,99 €"
27,2021-12-23,"70,99 €"
28,2021-12-26,"80,99 €"
29,2021-12-28,"107,00 €"
30,2021-12-30,"122,99 €"
31,2022-01-01,"153,49 €"
32,2022-01-02,"328,93 €"
33,2022-01-04,"153,49 €"
34,2022-01-06,"123,00 €"
35,2022-01-08,"133,99 €"
36,2022-01-09,"174,99 €"
37,2022-01-11,"88,49 €"
38,2022-01-13,"12,99 €"
39,2022-01-15,"12,99 €"
40,2022-01-16,"13,00 €"
41,2022-01-18,"13,00 €"
42,2022-01-20,"13,00 €"
43,2022-01-22,"13,00 €"
44,2022-01-23,"13,00 €"
45,2022-01-25,"12,99 €"
46,2022-01-27,"13,00 €"
47,2022-01-29,"13,00 €"
48,2022-01-30,"13,00 €"
49,2022-02-01,"35,99 €"
50,2022-02-03,"35,99 €"
51,2022-02-05,"29,99 €"
52,2022-02-06,"54,00 €"
53,2022-02-08,"35,99 €"
54,2022-02-10,"51,99 €"
55,2022-02-12,"35,99 €"
56,2022-02-13,"53,99 €"
57,2022-02-15,"35,99 €"
58,2022-02-17,"41,00 €"
59,2022-02-19,"35,99 €"
60,2022-02-20,"88,49 €"
61,2022-02-22,"35,99 €"
62,2022-02-24,"54,00 €"
63,2022-02-26,"58,99 €"
64,2022-02-27,"80,99 €"
65,2022-03-01,"35,99 €"
66,2022-03-03,"35,99 €"
67,2022-03-05,"29,99 €"
